taskname	maxRank	T1	targetclass	meanTrainInfo	meanTestInfo	stdTestInfo	RuleLength	ExtraOptions
German	 2	 2	 1	 38.12	 29.20	 5.86	 1.88	 stabilize=yes, prune=yes, postStabilize=no	
German	 2	 2	 2	 36.45	 29.96	 5.37	 1.77	 stabilize=yes, prune=yes, postStabilize=no	
German	 2	 2	 1	 38.36	 30.25	 5.13	 1.88	 stabilize=yes, prune=yes, postStabilize=yes	
German	 2	 2	 2	 36.62	 29.13	 6.02	 1.73	 stabilize=yes, prune=yes, postStabilize=yes	
Heart_Disease	 2	 2	 1	 31.37	 24.54	 6.01	 1.92	 stabilize=no, prune=no, postStabilize=no	
Heart_Disease	 2	 2	 2	 32.99	 22.83	 4.37	 1.90	 stabilize=no, prune=no, postStabilize=no	
Heart_Disease	 2	 2	 1	 30.86	 25.49	 5.48	 1.98	 stabilize=yes, prune=no, postStabilize=no	
Heart_Disease	 2	 2	 2	 32.91	 22.74	 4.43	 1.95	 stabilize=yes, prune=no, postStabilize=no	
Heart_Disease	 2	 2	 1	 30.21	 24.98	 5.95	 1.63	 stabilize=yes, prune=yes, postStabilize=no	
Heart_Disease	 2	 2	 2	 31.55	 24.08	 4.17	 1.45	 stabilize=yes, prune=yes, postStabilize=no	
Heart_Disease	 2	 2	 1	 30.28	 24.75	 5.92	 1.64	 stabilize=yes, prune=yes, postStabilize=yes	
Heart_Disease	 2	 2	 2	 31.54	 23.56	 4.37	 1.42	 stabilize=yes, prune=yes, postStabilize=yes	
Hepatitis	 2	 2	 1	 13.60	 4.48	 1.81	 1.91	 stabilize=no, prune=no, postStabilize=no	
Hepatitis	 2	 2	 2	 14.19	 7.01	 2.50	 1.93	 stabilize=no, prune=no, postStabilize=no	
Hepatitis	 2	 2	 1	 14.34	 4.12	 1.82	 1.95	 stabilize=yes, prune=no, postStabilize=no	
Hepatitis	 2	 2	 2	 14.89	 7.10	 2.23	 1.97	 stabilize=yes, prune=no, postStabilize=no	
Hepatitis	 2	 2	 1	 11.75	 4.61	 2.19	 1.53	 stabilize=yes, prune=yes, postStabilize=no	
Hepatitis	 2	 2	 2	 12.51	 6.41	 2.40	 1.60	 stabilize=yes, prune=yes, postStabilize=no	
Hepatitis	 2	 2	 1	 12.30	 4.20	 1.88	 1.51	 stabilize=yes, prune=yes, postStabilize=yes	
Hepatitis	 2	 2	 2	 12.85	 6.48	 2.41	 1.55	 stabilize=yes, prune=yes, postStabilize=yes	
Ionosphere	 2	 2	 1	 61.71	 46.61	 11.37	 1.99	 stabilize=no, prune=no, postStabilize=no	
Ionosphere	 2	 2	 2	 43.54	 34.42	 6.68	 1.02	 stabilize=no, prune=no, postStabilize=no	
Ionosphere	 2	 2	 1	 64.00	 46.73	 11.98	 1.99	 stabilize=yes, prune=no, postStabilize=no	
